model,dataset,regime,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std
camembert,emails,16,0.0692,0.023,0.1483,0.0137
camembert,emails,32,0.5763,0.0571,0.615,0.0472
camembert,emails,64,0.9099,0.0159,0.9117,0.0151
camembert,emails,8,0.1004,0.0245,0.1728,0.0262
camembert,emails,full,0.9861,0.0,0.9861,0.0
camembert,newsgroups,16,0.0878,0.0125,0.1441,0.0192
camembert,newsgroups,32,0.375,0.0824,0.4234,0.0859
camembert,newsgroups,64,0.659,0.012,0.6781,0.0075
camembert,newsgroups,8,0.1115,0.0517,0.1704,0.0306
camembert,newsgroups,full,0.7867,0.0018,0.7961,0.0016
hybrid_setfit_ministral,emails,16,0.9632,0.0082,0.9632,0.0082
hybrid_setfit_ministral,emails,32,0.9661,0.0081,0.9661,0.0081
hybrid_setfit_ministral,emails,64,0.9784,0.0056,0.9784,0.0056
hybrid_setfit_ministral,emails,8,0.9502,0.0101,0.95,0.01
hybrid_setfit_ministral,emails,full,0.9932,0.0021,0.9933,0.0021
ministral,emails,few_shot_8,0.9027,0.0185,0.9046,0.0176
ministral,emails,zero_shot,0.7929,,0.8139,
ministral,newsgroups,few_shot_8,0.8149,0.0113,0.8183,0.0114
ministral,newsgroups,zero_shot,0.8175,,0.8208,
setfit_camembert,emails,16,0.9628,0.0086,0.9628,0.0087
setfit_camembert,emails,32,0.9628,0.0081,0.9628,0.008
setfit_camembert,emails,64,0.9778,0.0055,0.9778,0.0056
setfit_camembert,emails,8,0.9473,0.0065,0.9472,0.0065
setfit_camembert,emails,full,0.9916,0.0,0.9917,0.0
setfit_camembert,newsgroups,16,0.7816,0.0072,0.7884,0.0077
setfit_camembert,newsgroups,32,0.7929,0.0108,0.7994,0.0105
setfit_camembert,newsgroups,64,0.8005,0.0082,0.8082,0.0077
setfit_camembert,newsgroups,8,0.785,0.0085,0.7914,0.0074
setfit_camembert,newsgroups,full,0.8371,0.0,0.8445,0.0
setfit_mmbert,emails,16,0.9617,0.0131,0.9617,0.0132
setfit_mmbert,emails,32,0.9716,0.0079,0.9717,0.008
setfit_mmbert,emails,64,0.9789,0.0025,0.9789,0.0025
setfit_mmbert,emails,8,0.9289,0.0169,0.9283,0.0169
setfit_mmbert,emails,full,0.9894,0.0012,0.9894,0.0012
setfit_modernbert_en,newsgroups,16,0.6936,0.0229,0.701,0.0203
setfit_modernbert_en,newsgroups,32,0.7326,0.0174,0.7377,0.0178
setfit_modernbert_en,newsgroups,64,0.767,0.0103,0.7722,0.0109
setfit_modernbert_en,newsgroups,8,0.6489,0.0326,0.6526,0.0413
setfit_modernbert_en,newsgroups,full,0.804,0.0,0.8082,0.0
tfidf_lr,emails,16,0.9427,0.0074,0.9428,0.0072
tfidf_lr,emails,32,0.9691,0.0108,0.9689,0.011
tfidf_lr,emails,64,0.9823,0.007,0.9822,0.007
tfidf_lr,emails,8,0.8361,0.0242,0.8344,0.0259
tfidf_lr,emails,full,0.9917,0.0,0.9917,0.0
tfidf_lr,newsgroups,16,0.4998,0.0175,0.506,0.0169
tfidf_lr,newsgroups,32,0.5967,0.019,0.6017,0.0203
tfidf_lr,newsgroups,64,0.6796,0.0073,0.6838,0.0069
tfidf_lr,newsgroups,8,0.3814,0.0312,0.3847,0.0288
tfidf_lr,newsgroups,full,0.7998,0.0,0.8051,0.0
